BuildingType,RC,WallArea,surfaceArea,OverallHeight,Orientation,GalzingArea,GlazingAreaDistribution,HeatingEnergykwh,CoolingEnergy
6,0.906940775,991.2,1872.2,1,0,118.8,0.119854722,659.99605,3488.71802
8,0.871514547,1340.8,2713.8,1,4,140.4,0.104713604,15220.64603,2143.521808
5,0.943945833,174.3,1028.3,3,4,20.9,0.119908204,1816.161422,1585.221419
8,0.744529875,2381.0,6081.6,1,1,346.0,0.145317094,330.2910961,5908.019704
8,0.832924253,1898.8,4119.2,1,4,111.7,0.058826627,5929.706963,2939.795905
8,0.832924253,1611.8,3510.2,1,1,412.8,0.25611118,1268.411592,4197.070796
8,0.871514547,1340.8,2713.8,1,7,210.6,0.157070406,1087.879812,2916.350219
8,0.871514547,1170.2,2398.2,1,1,140.4,0.119979491,1711.53505,3160.771492
8,0.832924253,1611.8,3510.2,1,4,206.4,0.12805559,3726.398657,5043.753117
8,0.744529875,2766.8,7111.4,1,0,154.4,0.05580454,11276.78864,8541.263269
8,0.995742895,2064.0,3013.2,2,7,292.1,0.141521318,4071.343306,8054.17915
6,0.906940775,991.2,1872.2,1,4,89.2,0.089991929,6873.68888,1955.077109
8,0.988418785,2588.2,3821.7,2,4,198.4,0.076655591,17540.88969,7470.381578
8,0.871514547,1429.0,2945.0,1,7,62.8,0.043946816,2828.721969,5161.567688
8,0.988418785,2811.6,4351.7,2,4,252.9,0.089948784,11015.95539,6033.16105
8,0.871514547,1637.6,3332.5,1,0,188.2,0.114924279,4713.462022,3442.412791
0,0.910018263,174.3,1028.3,1,0,31.4,0.180149168,1712.707334,81.76682858
7,0.80267604,1535.3,3941.3,1,7,126.1,0.082133785,12762.65896,5345.030177
8,0.906940775,1113.6,2098.6,1,7,89.2,0.080100575,15273.10575,2045.63607
8,0.871514547,1340.8,2713.8,1,0,140.4,0.104713604,1427.842253,4685.913342
8,0.979627785,3085.8,4904.8,2,1,422.7,0.136982306,48450.50932,8035.129531
4,0.943945833,662.2,662.2,3,5,99.2,0.149803685,8205.989965,67.99248828
8,0.979627785,3085.8,5065.8,2,3,352.0,0.114070905,15772.20578,2732.301587
7,0.996000752,690.8,1529.8,2,0,103.7,0.150115808,11494.83351,3890.225386
8,0.871514547,1111.4,2013.4,1,0,65.5,0.058934677,9718.822829,2517.187422
8,0.832924253,2027.8,4570.2,1,6,144.1,0.071062235,7248.233708,1731.756953
6,0.801044342,1558.6,3737.6,1,2,234.0,0.150134736,13366.97151,67.99248828
8,0.995742895,2466.0,3576.2,2,3,292.0,0.118410381,31232.87702,800.0840216
8,0.832924253,1376.0,3074.0,1,7,247.6,0.17994186,3680.679571,3811.389268
5,0.93088156,684.8,2366.8,4,0,205.5,0.300087617,3227.591696,3891.983812
4,0.989937806,416.7,1039.7,2,3,75.0,0.179985601,3812.854623,1861.880509
3,0.997557105,662.2,1516.2,2,0,59.6,0.09000302,1185.179408,1494.955529
8,0.801044342,2265.2,5345.4,1,6,164.4,0.072576373,9096.926018,1963.869241
0,0.962018974,563.3,563.3,3,2,101.4,0.180010652,6770.820934,1356.039842
6,0.832924253,1376.0,3074.0,1,0,123.8,0.08997093,2211.807367,2989.324916
8,0.968042554,3402.8,5575.2,2,0,786.4,0.231103797,10783.8431,4428.0108
8,0.801044342,1861.2,4297.4,1,0,93.6,0.050290135,19385.47901,2103.078
